File name,Algo type,Original Formula,Sketch,Total time,Completed sketch,Final size,Verified
f:06-nw:100-ml:06-0.trace,tree-suf-bmc,"G(&(p,->(!(q),U(!(q),&(r,!(q))))))","G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",10.89,"G(&(p,->(!(q),U(!(q),&(r,!(q))))))",13,TRUE
f:04-nw:400-ml:10-0.trace,tree-suf-bmc,F(p),?u1(p),45.46,F(p),2,TRUE
f:05-nw:100-ml:10-0.trace,tree-suf-bmc,"|(G(!(p)),F(&(p,F(q))))","|(?1,F(&(p,F(q))))",17.81,"|(G(p),F(&(p,F(q))))",7,TRUE
f:07-nw:400-ml:06-0.trace,tree-suf-bmc,G(p),G(?1),14.72,G(p),2,TRUE
f:08-nw:100-ml:06-0.trace,tree-suf,"->(F(q),U(p,q))","?b1(F(q),?b2(p,q))",7.73,"->(F(q),&(p,q))",6,TRUE
f:07-nw:010-ml:14-0.trace,tree-suf-bmc,G(p),G(?1),0.21,G(p),2,TRUE
f:01-nw:400-ml:14-0.trace,tree-suf-bmc,G(!(p)),?u1(!(p)),98.89,G(!(p)),3,TRUE
f:06-nw:400-ml:10-0.trace,tree-suf,"G(&(p,->(!(q),U(!(q),&(r,!(q))))))","G(&(p,->(!(q),U(!(q),?1))))",195.78,"G(&(p,->(!(q),U(!(q),r))))",10,TRUE
f:02-nw:010-ml:10-0.trace,tree-suf-bmc,"->(F(q),U(!(p),q))","->(?1,U(!(p),q))",1.22,"->(F(q),U(!(p),q))",6,TRUE
f:03-nw:025-ml:10-0.trace,tree-suf,"G(->(q,G(!(p))))","?u1(->(q,?u1(!(p))))",3.57,"G(->(q,G(!(p))))",6,TRUE
f:01-nw:010-ml:10-0.trace,tree-suf,G(!(p)),G(!(?1)),0.19,G(!(p)),3,TRUE
f:02-nw:025-ml:10-0.trace,tree-suf,"->(F(q),U(!(p),q))","->(?1,U(!(p),q))",5.10,"->(F(q),U(!(p),q))",6,TRUE
f:07-nw:400-ml:10-0.trace,tree-suf,G(p),?u1(p),43.59,G(p),2,TRUE
