File,Sketch,Time-tree_suf,Size-tree_suf
f:07-nw:100-ml:06-0.trace,G(?1),1.27,2
f:04-nw:200-ml:10-0.trace,?u1(p),13.39,2
f:02-nw:100-ml:14-0.trace,"->(?1,U(!(p),q))",55.77,6
f:02-nw:200-ml:06-0.trace,"?b1(F(q),?b2(!(p),q))",23.61,7
f:07-nw:200-ml:14-0.trace,?u1(p),28.91,2
f:01-nw:100-ml:10-0.trace,G(!(?1)),3.51,3
f:06-nw:200-ml:14-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",135.04,10
f:03-nw:200-ml:06-0.trace,"G(->(q,?1))",34.56,4
f:08-nw:010-ml:06-0.trace,"->(?1,U(p,q))",0.81,5
f:02-nw:050-ml:10-0.trace,"->(?1,U(!(p),q))",10.31,6
f:03-nw:050-ml:10-0.trace,"?u1(->(q,?u1(!(p))))",8.46,6
f:09-nw:010-ml:06-0.trace,"?u1(->(q,?u1(p)))",0.58,5
f:05-nw:050-ml:06-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",4.53,9
f:08-nw:400-ml:10-0.trace,"?b1(F(q),?b2(p,q))",168.17,6
f:09-nw:400-ml:10-0.trace,"G(->(q,?1))",181.20,4
f:01-nw:050-ml:14-0.trace,G(!(?1)),2.27,3
f:04-nw:050-ml:06-0.trace,F(?1),0.42,2
f:02-nw:100-ml:06-0.trace,"?b1(F(q),?b2(!(p),q))",7.96,7
f:01-nw:200-ml:10-0.trace,G(!(?1)),11.72,3
f:07-nw:100-ml:14-0.trace,?u1(p),9.61,2
f:06-nw:100-ml:14-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",47.71,10
f:03-nw:100-ml:06-0.trace,"G(->(q,?1))",16.10,4
f:05-nw:100-ml:10-0.trace,"|(?1,F(&(p,F(q))))",21.39,7
f:03-nw:200-ml:14-0.trace,"?u1(->(q,?u1(!(p))))",113.65,6
f:06-nw:200-ml:06-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",32.48,13
f:07-nw:200-ml:06-0.trace,G(?1),4.12,2
f:02-nw:200-ml:14-0.trace,"->(?1,U(!(p),q))",144.07,6
f:04-nw:100-ml:10-0.trace,?u1(p),4.00,2
f:05-nw:400-ml:10-0.trace,"|(?1,F(&(p,F(q))))",263.87,7
f:08-nw:050-ml:06-0.trace,"->(?1,U(p,q))",3.08,5
f:02-nw:010-ml:10-0.trace,"->(?1,U(!(p),q))",1.92,6
f:01-nw:025-ml:10-0.trace,G(!(?1)),0.45,3
f:03-nw:010-ml:10-0.trace,"?u1(->(q,?u1(!(p))))",1.75,6
f:09-nw:050-ml:06-0.trace,"?u1(->(q,?u1(p)))",2.48,5
f:04-nw:400-ml:10-0.trace,?u1(p),49.09,2
f:02-nw:400-ml:06-0.trace,"?b1(F(q),?b2(!(p),q))",52.76,7
f:02-nw:025-ml:14-0.trace,"->(?1,U(!(p),q))",10.80,6
f:05-nw:010-ml:06-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",1.06,9
f:07-nw:025-ml:06-0.trace,G(?1),0.17,2
f:07-nw:400-ml:14-0.trace,?u1(p),103.32,2
f:04-nw:010-ml:06-0.trace,F(?1),0.10,2
f:06-nw:025-ml:06-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",3.10,13
f:06-nw:400-ml:14-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",473.19,10
f:01-nw:010-ml:14-0.trace,G(!(?1)),0.37,3
f:03-nw:400-ml:06-0.trace,"G(->(q,?1))",87.04,4
f:03-nw:025-ml:14-0.trace,"?u1(->(q,?u1(!(p))))",6.28,6
f:08-nw:100-ml:10-0.trace,"?b1(F(q),?b2(p,q))",26.93,6
f:09-nw:100-ml:10-0.trace,"G(->(q,?1))",19.99,4
f:06-nw:010-ml:10-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",1.46,10
f:04-nw:025-ml:10-0.trace,?u1(p),0.87,2
f:09-nw:050-ml:14-0.trace,"G(->(q,?1))",7.42,4
f:01-nw:400-ml:10-0.trace,G(!(?1)),44.62,3
f:08-nw:050-ml:14-0.trace,"?b1(F(q),?b2(p,q))",24.70,6
f:07-nw:010-ml:10-0.trace,?u1(p),0.35,2
f:05-nw:025-ml:10-0.trace,"|(?1,F(&(p,F(q))))",4.38,7
f:03-nw:400-ml:14-0.trace,"?u1(->(q,?u1(!(p))))",388.13,6
f:03-nw:025-ml:06-0.trace,"G(->(q,?1))",3.77,4
f:01-nw:010-ml:06-0.trace,?u1(!(p)),0.19,3
f:06-nw:025-ml:14-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",8.25,10
f:06-nw:400-ml:06-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",61.31,13
f:04-nw:010-ml:14-0.trace,?u1(p),0.55,2
f:07-nw:025-ml:14-0.trace,?u1(p),1.43,2
f:07-nw:400-ml:06-0.trace,G(?1),15.61,2
f:05-nw:010-ml:14-0.trace,"|(?1,F(&(p,F(q))))",3.13,7
f:02-nw:400-ml:14-0.trace,"->(?1,U(!(p),q))",349.57,6
f:02-nw:025-ml:06-0.trace,"?b1(F(q),?b2(!(p),q))",1.76,7
f:08-nw:200-ml:10-0.trace,"?b1(F(q),?b2(p,q))",73.90,6
f:09-nw:200-ml:10-0.trace,"G(->(q,?1))",56.05,4
