File,Sketch,Time-naive,Size-naive,Time-tree,Size-tree,Time-tree_bmc,Size-tree_bmc,Time-tree_suf,Size-tree_suf,Time-tree_suf_bmc,Size-tree_suf_bmc
f:06-nw:050-ml:14-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",14.99,9,28.01,13,13.76,13,32.91,13,17.83,13
f:03-nw:050-ml:06-0.trace,"?u1(->(q,?u1(!(p))))",1.96,6,3.48,6,3.09,6,2.81,6,2.49,6
f:09-nw:010-ml:10-0.trace,"?u1(->(q,?u1(p)))",0.9,5,1.44,5,1.13,5,1.48,5,1.12,5
f:06-nw:200-ml:10-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",29.91,9,56.92,13,36.55,13,88.38,13,69.10,13
f:01-nw:100-ml:14-0.trace,?u1(!(p)),6.13,3,5.79,3,4.33,3,10.06,3,8.39,3
f:04-nw:100-ml:06-0.trace,?u1(p),1.84,2,1.6,2,1.4,2,1.47,2,1.35,2
f:02-nw:100-ml:10-0.trace,"?b1(F(q),?b2(!(p),q))",13.12,6,22.72,7,13.44,7,26.52,7,18.75,7
f:05-nw:200-ml:14-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",59.87,8,111.21,9,45.18,9,177.93,9,114.69,9
f:01-nw:050-ml:10-0.trace,?u1(!(p)),1.88,3,1.93,3,1.46,3,1.66,3,1.54,3
f:09-nw:400-ml:14-0.trace,"?u1(->(q,?u1(p)))",47.13,5,86.44,5,59.59,5,375.39,5,364.99,5
f:08-nw:025-ml:06-0.trace,"?b1(F(q),?b2(p,q))",1.41,5,2.34,6,1.81,6,1.73,6,1.24,6
f:07-nw:050-ml:06-0.trace,?u1(p),0.89,2,0.88,2,0.79,2,0.67,2,0.59,2
f:02-nw:050-ml:14-0.trace,"?b1(F(q),?b2(!(p),q))",13.17,6,22.82,7,10.37,7,24.67,7,13.10,7
f:02-nw:200-ml:10-0.trace,"?b1(F(q),?b2(!(p),q))",26.36,6,48.37,7,27.8,7,71.61,7,56.52,7
f:05-nw:100-ml:14-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",31.85,8,53.66,9,22.46,9,65.11,9,38.13,9
f:06-nw:100-ml:10-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",14.76,9,28.5,13,18.76,13,34.57,13,24.20,13
f:01-nw:200-ml:14-0.trace,?u1(!(p)),13.16,3,12.2,3,8.4,3,29.50,3,27.23,3
f:04-nw:200-ml:06-0.trace,?u1(p),3.56,2,3.43,2,2.84,2,4.91,2,4.61,2
